Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/trinity-it/resourcesAppleTV/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/01/2018 0:00,31/12/2030 23:59,yes
Exhibit02,hhttps://raw.githubusercontent.com/trinity-it/resourcesAppleTV/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/01/2018 0:00,31/12/2030 23:59,yes
Exhibit03,https://raw.githubusercontent.com/trinity-it/resourcesAppleTV/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/01/2018 0:00,31/12/2030 23:59,yes
Exhibit04,https://raw.githubusercontent.com/trinity-it/resourcesAppleTV/refs/heads/main/Trinity.png,0:00:10,1:00:00,1/01/2018 0:00,31/12/2030 23:59,yes

