Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Trinity,https://github.com/trinity-it/resourcesAppleTV/raw/main/Trinity.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
Trinity2,https://github.com/trinity-it/resourcesAppleTV/raw/main/Trinity.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
Trinity3,https://github.com/trinity-it/resourcesAppleTV/raw/main/Trinity.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
Trinity4,https://github.com/trinity-it/resourcesAppleTV/raw/main/Trinity.png,0:00:10,1:00:00,1/1/2018 0:00,12/31/30 23:59,yes
